region,capital,area,population,latitude,longitude
Centrale,Sokodé,"13,317","617,871",8.9860937,1.1395377
Kara,Kara,"11,738","769,940",9.5487848,1.1972291
Maritime,Lomé,"6,100","2,599,955",6.131944,1.222778
Plateaux,Atakpamé,"16,975","1,375,165",7.526944,1.126667
Savanes,Dapaong,"8,470","828,224",10.866667,0.2
