region,capital,latitude,longitude,population,area
Northern,Blantyre,-15.786111,35.005833,1708930,26931
Central,Lilongwe,-13.983333,33.783333,5510195,35592
Southern,Mzuzu,-11.46338,34.02488,5876784,31753
