capital,state,lga,latitude,longitude
Bunza,Kebbi,Bunza,12.091632,4.013028
Dapchi,Yobe,Bursari,12.4904,11.4944
Buruku,Benue,Buruku,7.466667,9.2
Burutu,Delta,Burutu,5.350908,5.507585
xx,Federal Capital Territory,Bwari,9.283333,7.383333
Calabar,Cross River,Calabar-Municipal,4.966667,8.333333
Anantigha,Cross River,Calabar South,4.9191463,8.3278876
Maikunkele,Niger,Bosso,9.6825,6.468333
Minna,Niger,Chanchaga,9.613889,6.556944
Charanchi,Katsina,Charanchi,12.670863,7.73194
Chibok,Borno,Chibok,10.86583,12.847017
Chikun,Kaduna,Chikun,10.269119,7.108446
Damaturu,Yobe,Damaturu,11.747,11.9608
Damban,Bauchi,Damban,11.6793,10.7074
Dambatta,Kano,Dambatta,12.433031,8.515409
Damboa,Borno,Damboa,11.156036,12.757583
Dan Musa,Katsina,Dan Musa,12.261568,7.334091
Kamba,Kebbi,Dandi,11.848642,3.65761
Dan Dume,Katsina,Dandume,11.446185,7.127703
Dange,Sokoto,Dange-Shnsi,12.851278,5.347046
Danja,Katsina,Danja,11.376431,7.562489
Darazo,Bauchi,Darazo,10.993754,10.411791
Dass,Bauchi,Dass,10.000833,9.516111
Daura,Katsina,Daura,13.035941,8.316313
Dawakin Kudu,Kano,Dawakin Kudu,11.835052,8.597561
Dawakin Tofa,Kano,Dawakin Tofa,12.102654,8.331363
Degema,Rivers,Degema,4.746111,6.767693
Dekina,Kogi,Dekina,7.694746,7.022175
Demsa,Adamawa,Demsa,9.466667,12.15
Dikwa,Borno,Dikwa,12.023957,13.916458
Ririwai,Kano,Doguwa,10.738648,8.744503
Doma,Nasarawa,Doma,8.383333,8.35
Donga,Taraba,Donga,7.716667,10.05
Dukku,Gombe,Dukku,10.823056,10.771667
Ukpo,Anambra,Dunukofia,6.212867,6.964155
Dutse,Jigawa,Dutse,11.759404,9.339207
Dutsi,Katsina,Dutsi,12.825445,8.142927
Dutsin Ma,Katsina,Dutsin-Ma,12.45167,7.498049
Okoro Ete,Akwa lbom,Eastern Obolo,4.53953,7.751667
