capital,state,lga,latitude,longitude
Otukpa,Benue,Ogbadibo,7.089209,7.649886
Atani,Anambra,Ogbaru,6.015773,6.744589
Ogbia,Bayelsa,Ogbia,4.6880898,6.3163666
Ogbomoso,Oyo,Ogbomosho North,8.133333,4.266667
xx,Oyo,Ogbomosho South,8.111,4.2333868
Ajawa,Oyo,Ogo Oluwa,7.933333,4.133333
Ogoja,Cross River,Ogoja,6.654706,8.797645
Ogori,Kogi,Ogori/Mangongo,7.4588,6.1876
Ogu,Rivers,Ogu/Bolo,4.730551,7.196655
Abigi,Ogun,Ogun waterside,6.48122,4.396654
Oguta,Imo,Oguta,5.708901,6.810265
Ebem,Abia,Ohafia,5.634443,7.828994
Ose-Mmahu,Imo,Ohaji/Egbema,5.539849,6.725487
Uburu,Ebonyi,Ohaozara,6.0446,7.7692
Ezamgbo,Ebonyi,Ohaukwu,6.3945,7.9765
Oji River,Enugu,Oji-River,6.2611,7.261
Ojo,Lagos,Ojo,6.453819,3.205846
Oju,Benue,Oju,6.84543,8.417355
Ilofa,Kwara,Oke-Ero,8.1,5.15
Okene,Kogi,Okene,7.5456,6.2538
Okigwi,Imo,Okigwe,5.835234,7.359889
Okitipupa,Ondo,Okitipupa,6.504748,4.78391
Okobo,Akwa lbom,Okobo,4.824914,8.110569
Orerokpe,Delta,Okpe,5.635058,5.889557
Okrika,Rivers,Okrika,4.741589,7.084877
Okpo,Kogi,Olamabolo,7.1844,7.5596
Ibode-Osi,Osun,Ola-oluwa,7.75,4.233333
Igbeti,Oyo,Olorunsogo,8.75,4.133333
Idi Ayunre,Oyo,Oluyole,7.233333,3.866667
Abejukolo,Kogi,Omala,7.817983,7.530927
Eberi,Rivers,Omumma,5.090716,7.234847
Akanran,Oyo,Ona-Ara,7.283333,4.033333
Bolorunduro,Ondo,Ondo East,7.166667,4.966667
Ondo,Ondo,Ondo West,7.1,4.833333
Isu,Ebonyi,Onicha,6.166667,7.816667
Onitsha,Anambra,Onitsha North,6.14543,6.788452
xx,Anambra,Onitsha South,6.1355731,6.7863536
\,Akwa lbom,Onna,4.616312,7.866794
Nkoro,Rivers,Opobo/Nkoro,,
Benin City,Edo,Oredo,6.335045,5.627492
Igboho,Oyo,Orelope,8.833333,3.75
Abudu,Edo,Orhionmwon,6.29343,6.036358
Ikoyi,Oyo,Ori Ire,8.25,4.166667
Ijebu Ijesha,Osun,Oriade,7.683333,4.816667
Orlu,Imo,Orlu,5.794635,7.034947
Ifon,Osun,Orolu,7.866667,4.483333
Oron,Akwa lbom,Oron,4.825614,8.234345
Awo Idemiri,Imo,Orsu,5.823884,6.935979
Omuma,Imo,Oru East,5.756909,6.947511
Mgbidi,Imo,Oru West,5.730125,6.890952
Ikot Ibritam,Akwa lbom,Oruk Anam,4.80555,7.615943
Ufuma,Anambra,Orumba North,6.084792,7.20294
Umueje,Anambra,Orumba South,6.024142,7.266681
Ifon,Ondo,Ose,6.924119,5.776032
Akwukwu-Igbo,Delta,Oshimili North,6.355421,6.591061
Asaba,Delta,Oshimili South,6.200643,6.733845
Oshodi,Lagos,Oshodi-Isolo,6.558174,3.346625
Osogbo,Osun,Osogbo,7.766667,4.566667
Oturkpo,Benue,Oturkpo,7.1914,8.1333
Okada,Edo,Ovia North East,6.732728,5.389892
Iguobazowa,Edo,Ovia South West,6.565962,5.353424
Afuze,Edo,Owan East,6.967512,6.043194
Sabongida Ora,Edo,Owan West,6.9012717,5.9275923
Umuoguma,Imo,Owerri West,5.467787,6.967603
Owerri,Imo,Owerri-Municipal,5.483333,7.030407
Orie Uratta,Imo,Owerri_North,5.5273999,7.0572996
Owo,Ondo,Owo,7.196195,5.586806
Oye,Ekiti,Oye,7.799765,5.332422
Nkwelle,Anambra,Oyi,6.2141814,6.8511421
Obigbo,Rivers,Oyigbo,4.875448,7.148817
Oyo,Oyo,Oyo West,7.85,3.933333
Ilemona,Kwara,Oyun,8.1086997,4.6602105
Pankshin,Plateau,Pankshin,9.333333,9.45
Patani,Delta,Patani,5.227239,6.192382
Pategi,Kwara,Pategi,8.733333,5.75
Port Harcourt,Rivers,Port-Harcourt,4.777423,7.013404
Potiskum,Yobe,Potiskum,11.7091,11.0694
Rabah,Sokoto,Rabah,13.121329,5.507414
Kagara,Niger,Rafi,10.18437,6.253361
Rano,Kano,Rano,11.54912,8.574642
Isara,Ogun,Remo North,6.992808,3.681853
Rijau,Niger,Rijau,11.10298,5.250681
Rimi,Katsina,Rimi,12.84884,7.71485
Rimin Gado,Kano,Rimin Gado,11.963873,8.250295
Ringim,Jigawa,Ringim,12.154818,9.161915
Riyom,Plateau,Riyom,9.6367143,8.7601378
Rogo,Kano,Rogo,11.553135,7.825069
Roni,Jigawa,Roni,12.6571,8.265308
Sabon Birni,Sokoto,Sabon Birni,13.561045,6.325007
Sabon Gari,Kaduna,Sabon-Gari,11.116667,7.733333
Sabuwa,Katsina,Sabuwa,11.1747,7.12371
Safana,Katsina,Safana,12.960438,8.362121
Sagbama,Bayelsa,Sagbama,5.163299,6.21259
Sakaba,Kebbi,Sakaba,11.066667,5.6
Ago-Amodu,Oyo,Saki East,8.616667,3.616667
Saki,Oyo,Saki West,8.666667,3.383333
Sandamu,Katsina,Sandamu,12.40798,7.41699
Sanga,Kaduna,Sanga,9.316667,8.45
Sapele,Delta,Sapele,5.894053,5.67666
Gembu,Taraba,Sardauna,6.7,11.266667
Shagamu,Ogun,Shagamu,6.843226,3.647763
Shagari,Sokoto,Shagari,12.62746,4.993586
Shanga,Kebbi,Shanga,11.210619,4.578776
Shani,Borno,Shani,10.216171,12.061982
Shanono,Kano,Shanono,12.049697,7.994029
Shelleng,Adamawa,Shelleng,9.8975,12.008889
Shendam,Plateau,Shendam,8.883333,9.533333
Shinkafi,Zamfara,Shinkafi,13.075339,6.510465
Shira,Bauchi,Shira,11.4583,10.0468
Shiroro,Niger,Shiroro,9.961667,6.836944
Chongwom,Gombe,Shomgom,9.783333,11.25
Shomolu,Lagos,Shomolu,6.540278,3.371667
Silame,Sokoto,Silame,13.037218,4.843895
Soba,Kaduna,Soba,10.981335,8.057494
Sarkin Samfara,Sokoto,Sokoto South,13.05367,5.23777
Sokoto,Sokoto,Sokoto North,13.066667,5.233333
Song,Adamawa,Song,9.824444,12.625
Oporoma,Bayelsa,Southern Ijaw,4.804722,6.078889
Suleja,Niger,Suleja,9.175833,7.180833
Abuja,Niger,Suleja,9.175833,7.180833
Sule Tankarka,Jigawa,Sule-Tankarkar,12.668975,9.226426
Sumaila,Kano,Sumaila,11.527557,8.956326
Suru,Kebbi,Suru,11.923972,4.182165
Suru-Lere,Lagos,Surulere,6.5035133,3.3571665
Iresa,Oyo,Surulere,8.083333,4.4
Tafawa-Balewa,Bauchi,Tafawa-Balewa,9.758333,9.557222
Okoloma-Tai,Rivers,Tai,4.766061,7.280003
Takai,Kano,Takali,11.583333,9.116667
Takum,Taraba,Takum,7.266667,9.983333
Talata Mafara,Zamfara,Talata Mafara,12.573167,6.05971
Tambuwal,Sokoto,Tambuwal,12.403858,4.64692
Tangaza,Sokoto,Tangaza,13.365305,4.937319
Wannune,Benue,Tarka,7.5618,8.8887
Babban Gida,Yobe,Tarmua,12.1076,11.7539
Taura,Jigawa,Taura,12.227216,9.280571
Tofa,Kano,Tofa,12.057377,8.273131
Toro,Bauchi,Toro,10.054517,9.060434
Toto,Nasarawa,Toto,8.378889,7.084444
Toungo,Adamawa,Toungo,8.116667,12.05
Chafe,Zamfara,Tsafe,11.955273,6.922322
Tsanyawa,Kano,Tsanyawa,12.293593,7.987521
Tudun Wada,Kano,Tudun Wada,11.243376,8.403849
Tureta,Sokoto,Tureta,12.591351,5.54431
Obolo,Enugu,Udenu,6.915427,7.519413
Udi,Enugu,Udi,6.3144,7.4258
Otor Udu,Delta,Udu,5.452724,5.869573
Udung Uko,Akwa lbom,Udung Uko,4.75801,8.242555
Ughelli,Delta,Ughelli North,5.489857,6.00743
Otujeremi,Delta,Ughelli South,5.4352802,5.8792605
Ehor,Edo,Uhunmwonde,6.615559,5.983837
Ukanafun,Akwa lbom,Ukanafun,5.002799,7.743885
Zaki Biam,Benue,Ukum,7.516667,9.616667
Akwete,Abia,Ukwa East,4.886881,7.356864
Oke Ikpe,Abia,Ukwa West,,
Obiaruku,Delta,Ukwuani,5.846712,6.152566
Umuahia,Abia,Umuahia North,5.526269,7.489589
Ishiagu,Abia,Umu-Neochi,5.940616,7.539923
Ungogo,Kano,Ungogo,12.090534,8.496641
Okwe,Imo,Unuimo,5.768701,7.217474
Abak-Ibiaku Uruan,Akwa lbom,Uruan,5.078525,7.938705
Oruko,Akwa lbom,Urue-Offong/Oruko,4.711207,8.179307
Lissam,Taraba,Ussa,7.183333,10.033333
Effurun,Delta,Uvwie,5.554632,5.786239
Uyo,Akwa lbom,Uyo,5.033333,7.92657
Umulokpa,Enugu,Uzo-Uwani,6.5062,7.1002
Vande Ikya,Benue,Vandeikya,6.783844,9.067649
Wamako,Sokoto,Wamako,13.028737,5.105336
Wamba,Nasarawa,Wamba,8.933333,8.6
Warji,Bauchi,Warji,11.183333,9.75
Koko,Delta,Warri North,6.001093,5.467541
Warri,Delta,Warri South,5.516667,5.75
Ogbe-Ijoh,Delta,Warri South West,,
Wasagu,Kebbi,Wasagu/Danko,11.376399,5.795361
Wase,Plateau,Wase,9.1,9.966667
Wudil,Kano,Wudil,11.810671,8.84505
Wukari,Taraba,Wukari,7.85,9.783333
Wurno,Sokoto,Wurno,13.28777,5.423262
Wushishi,Niger,Wushishi,9.720556,6.079722
Yabo,Sokoto,Yabo,12.721667,5.015556
Isanlu Itedo,Kogi,Yagba East,8.283333,5.833333
Odo Ere,Kogi,Yagba West,8.25,5.55
Ugep,Cross River,Yakurr,5.8086,8.0812
Otukpo,Cross River,Yala,6.815,8.6531
Deba Habe,Gombe,Yamaltu/Deba,10.208644,11.385859
Yankwashi,Jigawa,Yankwashi,12.742809,8.539973
Yelwa,Kebbi,Yauri,10.835918,4.739019
Yenagoa,Bayelsa,Yenegoa,4.924722,6.264167
Yola,Adamawa,Yola North,9.23,12.46
xx,Adamawa,Yola South,,
Yorro,Taraba,Yorro,8.716667,11.616667
Yusufari,Yobe,Yusufari,13.0683,11.1758
Katagum,Bauchi,Zaki,12.2867,10.3527
Zango,Katsina,Zango,13.051512,8.487646
Zangon Katab,Kaduna,Zango-Kataf,9.833333,8.4
Zaria Native Area N,Kaduna,Zaria,11.066667,7.7
Zing,Taraba,Zing,8.9,11.7
Zurmi,Zamfara,Zurmi,12.777604,6.783401
Zuru,Kebbi,Zuru,11.424065,5.228786
Tunkus,Plateau,Mikang,9.02279,9.61604
Baap,Plateau,Qua'an Pan,8.94855,9.24445
Mabudi,Plateau,Langtang South,8.73005,9.78698
New Karu,Nasarawa,Karu,9.027093,7.5989561
Angware,Plateau,Jos East,9.99055,9.10923
Kaura,Kaduna,Kaura,9.6283318,8.5020366
Sarkin Pawa,Niger,Munya,10.016122,7.107265
Paiko,Niger,Paikoro,9.433333,6.633333
Gawu,Niger,Gurara,9.27892,6.99464
Obangede,Kogi,Okehi,7.6211,6.19924
Gwammaja,Kano,Dala,12.01989,8.50864
Unguwa Uku,Kano,Tarauni,11.9585,8.57134
Gwale,Kano,Gwale,11.98638,8.50638
Girei,Adamawa,Girei,9.366667,12.55
Biriyel,Borno,Bayo,10.34661,11.61227
Sunkani,Taraba,Ardo Kola,8.70487,11.2604
Katsina-Ala,Benue,Katsina-Ala,7.18051,9.30804
Lessel,Benue,Ushongo,7.12767,9.02259
Ugbodo,Ebonyi,Ebonyi,,
Itigidi,Cross River,Abi,5.8828,8.0214
Akpet Central,Cross River,Biase,5.61928,8.10402
Esit Eket,Akwa lbom,Esit Eket,4.6580703,8.0583828
xx,Akwa lbom,Nsit Ubium,4.7721871,7.9274893
Buguma,Rivers,Asari-Toru,4.734071,6.863451
Osisioma,Abia,Osisioma Ngwa,5.15466,7.32795
Aboh,Imo,Aboh Mbaise,5.4545946,7.2360114
Okpuala- Ngwa,Abia,Isiala Ngwa North,5.349972,7.3751178
Amaigbo,Imo,Nwangele,5.725603,7.1172372
Otoko,Imo,Obowo,5.5538986,7.3874379
Apumuri,Abia,Umuahia South,5.4749746,7.4345845
Nnenasa,Imo,Njaba,5.7370148,7.0123632
Nwaorieubi,Imo,Mbaitoli,5.5853705,7.0442238
Osogbo,Osun,Olorunda,7.7819983,4.5521941
Kanamma ,Yobe,Yunusari,13.0988061,12.1081153
xx,Kwara,Moro,8.7067014,4.4696835
Iyana Offa,Oyo,Lagelu,7.4952993,4.0787075
Kosofe,Lagos,Kosofe,6.5825146,3.3828636
xx,Lagos,Ajeromi-Ifelodun,6.4511844,3.332414
xx,Lagos,Lagos Mainland,6.4946044,3.3791273
xx,Oyo,Oyo East,7.8374016,3.944
Isinweke,Imo,Ihitte/Uboma,5.6228226,7.3494082
Iyara,Kogi,Ijumu,7.8442334,5.9726305
Idekpa-Okpiko,Benue,Ohimini,7.2300211,7.9285769
Agodi,Oyo,Ibadan North,7.4045263,3.9317268
Iwo Road,Oyo,Ibadan North-East,,
Dugbe/Onireke,Oyo,Ibadan North-West,7.3927199,3.8774856
Mapo Hall,Oyo,Ibadan South-East,,
Ibadan,Oyo,Ibadan South-West,7.3676277,3.8603157
