district,region,capital,latitude,longitude
Nzema East Municipal District,Western,Axim,4.866667,-2.233333
Offinso South Municipal District,Ashanti,Offinso,6.9570113,-1.6794005
Pru District,Brong-Ahafo,Yeji,8.216667,-0.65
Saboba District,Northern,Saboba,9.7084972,0.3172143
Sagnarigu District,Northern,Sagnarigu,,
Savelugu-Nanton District,Northern,Savelugu,9.616667,-0.833333
Sawla-Tuna-Kalba District,Northern,Sawla,9.283333,-2.416667
Sefwi-Wiawso District,Western,Wiawaso,6.215833,-2.485
Sekyere Afram Plains District,Ashanti,Kumawu,,
Sekyere Central District,Ashanti,Nsuta,7.016667,-1.383333
Sekyere East District,Ashanti,Effiduase,6.8426,-1.397692
Sekyere South District,Ashanti,Agona,6.9335538,-1.4915641
Sene West District,Brong-Ahafo,Kwame Danso,7.733333,-0.683333
Shama District,Western,Shama,5.016667,-1.633333
Sissala East District,Upper West,Tumu,10.883333,-1.983333
Sissala West District,Upper West,Gwollu,10.981111,-2.221111
South Dayi District,Volta,Kpeve New Town,6.683611,0.333611
South Tongu District,Volta,Sogakope,6,0.6
Suhum/Kraboa/Coaltar District,Eastern,Suhum,6.033333,-0.45
Sunyani Municipal District,Brong-Ahafo,Sunyani,7.333333,-2.333333
Tain District,Brong-Ahafo,Nsawkaw,7.866667,-2.316667
Talensi District,Upper East,Tongo,10.716667,-0.8
Tamale Metropolitan District,Northern,Tamale,9.4075,-0.853333
Tano North District,Brong-Ahafo,Duayaw Nkwanta,7.166667,-2.1
Tano South District,Brong-Ahafo,Bechem,7.083333,-2.016667
Tarkwa-Nsuaem Municipal District,Western,Tarkwa,5.363333,-1.947778
Techiman Municipal District,Brong-Ahafo,Techiman,7.577222,-1.929167
Tema Metropolitan District,Greater Accra,Tema,5.666667,0
Tolon District,Northern,Tolon,9.433333,-1.066667
Twifo/Heman/Lower Denkyira District,Central,Heman,5.4860089,-1.5327519
Upper Denkyira East Municipal District,Central,Dunkwa-on-Offin,5.9667,-1.7833
Upper Manya Krobo District,Eastern,Asesewa,6.4,-0.15
Wa East District,Upper West,Funsi,10.288611,-1.971111
Wa Municipal District,Upper West,Wa,10.066667,-2.5
Wa West District,Upper West,Wechiau,9.833333,-2.683333
Wasa Amenfi East District,Western,Wassa-Akropong,5.787222,-2.083611
Wasa Amenfi West District,Western,Asankrangua,5.8103229,-2.4534275
West Akim Municipal District,Eastern,Asamankese,5.866667,-0.666667
West Gonja District,Northern,Damongo,9.083333,-1.816667
West Mamprusi District,Northern,Walewale,10.35,-0.8
Yendi Municipal District,Northern,Yendi,9.432436,-0.004258
Yilo Krobo District,Eastern,Somanya,6.103889,-0.015
Zabzugu District,Northern,Zabzugu,9.2939919,0.3676961
