Num,longitude,latitude
1,-8.002093277,12.64291947
2,-11.43890328,14.44852172
3,-7.562688402,12.8591441
4,-5.669156275,11.3118631
5,-6.272323026,13.44043647
6,-4.194090274,14.48775422
7,-3.007772523,16.76618535
8,-0.050221395,16.26849235
9,1.401566982,18.43769348
10,-10.8322954,13.8034226
11,-9.188843278,14.53862635
12,-11.23916503,12.84000897
13,-9.487781779,13.03482972
14,-9.590296154,15.22760297
15,-10.57547665,15.1180176
16,-7.446532027,13.5485166
17,-6.793810276,12.48126497
18,-8.411233028,11.93972447
19,-8.071805152,12.73827385
20,-8.034720402,13.57117672
21,-7.288544277,15.16081647
22,-5.7621084,10.55218085
23,-4.776782149,12.35282222
24,-6.892828401,11.08354147
25,-8.152221777,11.17472522
26,-5.4639199,12.38948185
27,-7.484350027,11.40816885
28,-6.835304026,13.07049535
29,-5.76066615,12.94426447
30,-4.897007649,13.29929572
31,-5.99326615,14.24424985
32,-4.593125649,13.28364735
33,-5.36223415,13.95717322
34,-3.608010273,14.33900347
35,-3.514986398,14.07297322
36,-4.263322649,15.36615235
37,-4.557280274,13.90576597
38,-2.951200648,14.99235185
39,-3.077304398,14.0591706
40,-4.921910399,14.44783122
41,-3.400139398,16.25670648
42,-3.664014523,16.41205148
43,-1.920739647,16.8732931
44,-3.993564274,15.92734023
45,0.500141731,15.66160498
46,-0.352034145,16.94971698
47,2.401662232,15.9149826
48,2.493056858,18.44403723
49,1.825452982,19.2878536
50,1.018961481,20.1975061
51,-11.48750015,14.54055597
52,-11.2111474,14.50893347
53,-11.26132578,14.08576322
54,-11.58909978,14.96089572
55,-12.20011603,14.45063685
56,-12.14680728,14.6210231
57,-11.33722215,14.61499972
58,-11.29900553,14.55608772
59,-11.84083366,14.61222272
60,-11.3650939,14.37164035
61,-11.75416666,15.3602781
62,-11.79345491,14.58993047
63,-11.3767004,14.45559972
64,-10.9133329,14.57777785
65,-10.98611265,14.98673897
66,-11.23832728,14.8810186
67,-11.49083328,14.4650001
68,-11.26635578,14.28037172
69,-11.04305553,14.5669441
70,-10.86499978,14.58250047
71,-11.69045641,13.89004422
72,-11.47341278,15.37455497
73,-11.56972216,14.48583322
74,-10.97162253,14.55925847
75,-11.0623809,14.8100321
76,-11.60777766,14.5466671
77,-12.05589941,14.71412185
78,-12.18943653,14.7543256
79,-10.50786103,13.2646061
80,-10.25090778,14.47153097
81,-10.1624494,14.20357572
82,-10.55036003,13.30977022
83,-11.08800878,13.49147697
84,-10.36731478,14.03703972
85,-10.68289715,13.16116597
86,-10.85021428,13.75938272
87,-11.3522034,13.61763872
88,-10.37629415,13.59179722
89,-10.75669678,14.25846022
90,-10.46241303,14.24423922
91,-9.351237903,15.03956597
92,-9.516043654,14.54096835
93,-9.016634278,14.49149447
94,-9.849296279,14.29789497
95,-8.566053903,14.53784935
96,-9.475555404,15.13749985
97,-9.530343154,14.32251772
98,-8.274999652,14.42666622
99,-9.159722278,14.82916647
100,-9.397222529,15.1291666
101,-9.907355279,14.5041846
102,-9.550000154,14.31111147
103,-9.305738028,14.3592416
104,-9.961388529,14.4230556
105,-11.01785965,12.8257436
106,-11.13666703,12.66781847
107,-11.37929265,13.45809347
108,-11.05083365,12.78055572
109,-11.27342365,12.26133947
110,-10.89911178,12.42952597
111,-11.0187394,12.72721422
112,-11.12150765,13.05341535
113,-10.40249253,12.6032731
114,-10.69864578,12.19557385
115,-11.2290054,13.10469997
116,-9.398674279,12.96782885
117,-9.395555529,13.05694485
118,-9.476522529,12.90008235
119,-9.507499654,13.0886106
120,-9.844044529,12.81375372
121,-9.502373404,14.1207886
122,-9.454063279,13.19773085
123,-9.606771404,14.2596316
124,-9.803815279,12.58304172
125,-9.504730904,12.57980547
126,-9.320637528,14.2595121
127,-8.881685028,12.95162797
128,-9.435833029,13.10083297
129,-9.604444529,13.07583335
130,-9.899903654,13.1160626
131,-9.944802529,12.87841985
132,-8.724999153,13.47313785
133,-9.964861404,12.22388722
134,-9.576611529,13.85652335
135,-8.860486153,13.3981306
136,-9.046271403,12.67585147
137,-9.387244904,13.36118647
138,-10.17489815,13.2709871
139,-9.551211529,13.35267547
140,-8.990402778,12.9583786
141,-9.742500279,14.26694485
142,-9.827326529,14.13762985
143,-9.353974903,12.80861372
144,-9.226947528,12.67969147
145,-9.491629654,13.35262972
146,-9.872634154,12.9696186
147,-9.871734779,13.44019335
148,-9.148792403,15.20226147
149,-9.319638653,15.1524966
150,-9.319818903,15.31447197
151,-9.982500029,15.17777822
152,-9.888246529,15.13254397
153,-9.328459278,15.68350673
154,-9.583313029,15.11711285
155,-9.647777529,15.12222197
156,-8.956876528,15.13921585
157,-9.627778029,15.2747221
158,-10.3052969,14.7007426
159,-9.682640654,14.90583285
160,-9.229167028,15.26472185
161,-9.425416654,15.25596622
162,-9.809721904,15.1080551
163,-10.88194465,15.07638935
164,-10.83892603,15.07012697
165,-10.41648503,15.0037011
166,-10.75722215,15.10444447
167,-10.22369965,15.40876972
168,-10.34462703,15.35038385
169,-10.94055553,15.01249985
170,-10.4755554,15.03777785
171,-10.72265865,15.12778247
172,-10.74546753,14.64444672
173,-7.248199777,13.10640472
174,-7.611752152,13.10010372
175,-7.653055652,13.11583322
176,-7.535277902,12.87194447
177,-6.983855526,13.30855447
